alphabet,digit,dot,plus,minus,star,percentage,equals,slash,underscore,less_than,greater_than,open_parenthesis,close_parenthesis,bang,pipe,ampersand,token
1,3,,4,6,8,10,13,14,1,15,17,19,20,22,24,26,
a,a,,,,,,,,,,,,,,,,identifier
,a,,,,,,,,,,,,,,,,real_number
,a,2,,,,,,,,,,,,,,,integer_number
,,,5,,,,11,,,,,,,,,,arithmetic_addition
,,,a,,,,,,,,,,,,,,increment
,,,,7,,,12,,,,,,,,,,arithmetic_subtraction
,,,,a,,,,,,,,,,,,,decrement
,,,,,9,,,,,,,,,,,,arithmetic_multiplication
,,,,,a,,,,,,,,,,,,arithmetic_exponent
,,,,,,a,,,,,,,,,,,arithmetic_modulus
,,,,,,,a,,,,,,,,,,assignment_and_add
,,,,,,,a,,,,,,,,,,assignment_and_subtract
,,,,,,,a,,,,,,,,,,assignment
,,,,,,,,a,,,,,,,,,arithmetic_division
,,,,,,,16,,,a,21,,,,,,comparison_less_than
,,,,,,,a,,,,,,,,,,comparison_less_than_or_equal
,,,,,,,18,,,,a,,,,,,comparison_greater_than
,,,,,,,a,,,,,,,,,,comparison_greater_than_or_equal
,,,,,,,,,,,,a,,,,,open_parenthesis
,,,,,,,,,,,,,a,,,,close_parenthesis
,,,,,,,,,,,a,,,,,,comparison_not_equal
,,,,,,,23,,,,,,,a,,,logical_not
,,,,,,,a,,,,,,,,,,comparison_not_equal
,,,,,,,,,,,,,,,25,,bitwise_or
,,,,,,,,,,,,,,,a,,logical_or
,,,,,,,,,,,,,,,,27,bitwise_and
,,,,,,,,,,,,,,,,a,logical_and
